DGM #,Failure Scenarios,Description,Relevant Vulnerabilities ,Impacts,Potential Mitigations,NIST CSF Subcategory
9,Weakened Security during Disaster enables DGM Compromise,"A threat agent could take advantage of the confusion, lack of security, and hasty reconstitution of the distribution grid after a disaster. For example, a threat agent could delay the recovery effort by leveraging temporary communications with low security to access DMS to switch breakers. Likewise this objective could be achieved by subverting weak physical security at substations (due to damage or communication outages) to access engineering or console ports or relays to change settings and render them inoperable. Further, the interception of temporary communications with low security might support reconnaissance of high priority vulnerabilities to aid in future attacks","V9A) Emergency response policy, procedures, or execution intentionally disregards security controls to speed recovery","I9A) Delay, damage, disruption, or denial of the recovery effort",M9A) Implement configuration management of the DGM systems before and after disasters,"PR.IP-3: Configuration change control processes are in place



"
,,,V9B) Emergency response procedures unintentionally omit security controls either in the procedures themselves or during their execution,"I9B) Damage, disruption, or destruction of a system or components long after the disaster recovery",M9B) Define policy for emergency response that ensure security during a recovery effort,PR.IP-9: Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed
,,,,"I9C) Theft of historian, configuration, or customer information that could support future
attacks",M9C) Prioritize recovery activities for physical security including personnel authentication and access control during the recovery effort,"ID.BE-5: Resilience requirements to support delivery of critical services are established for all operating states (e.g. under duress/attack, during recovery, normal operations)
PR.AC-2: Physical access to assets is managed and protected"
,,,,,"M9D) Review recovery response after the disaster to verify repairs, configurations, and
changes are correct","RC.IM-1: Recovery plans incorporate lessons learned
PR.IP-9: Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed"
,,,,,M9D) Verify correct operation on the DGM systems before deployment.,PR.DS-8: Integrity checking mechanisms are used to verify hardware integrity
10,Switched Capacitor Banks are Manipulated to Degrade Power Quality,"Switched capacitor banks can create large switching transients when connected to a utility feeder, generating voltage spikes up to twice the rated voltage and can be exacerbated when two are switched on back-to-back. A threat agent social engineers DMS Human Machine Interface (HMI) passwords to gain control of switched capacitor bank relays to repeatedly switch capacitor banks on and off, generating cascading voltage spikes and instability to trip protection devices","V10A) Workforce may be unaware of recommended precautions to block social engineering attacks, such as impersonating persons of authority, phishing and rogue USB devices",I10A) Repeated voltage spikes may damage customer or utility equipment,"M10A) Train personnel on the threat of social engineering attacks and perform social
engineering exercises (such as company generated phishing emails or rogue USB drives) to engage employees","PR.AT-1: All users are informed and trained 
"
,,,V10B) Physical access may be obtained by unauthorized individuals to DMS,I10B) Possible loss of customer power due to false operation of protective devices,"M10B) Require synchronous functions for closing control, surge arrestors, or preinsertion resistors to minimize capacitor bank switching transients","ID.BE-4: Dependencies and critical functions for delivery of critical services are established
PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)"
,,,V10C) Users and hardware/software entities are given access unnecessary for their roles to critical DMS functions,,M10C) Restrict physical access to engineering consoles and HMIs,PR.AC-2: Physical access to assets is managed and protected
,,,V10D) Insiders with high potential for criminal or malicious behavior have access to critical functions or sensitive data in the DMS system,,M10D) Enforce least privilege for access to critical DMS functions,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
,,,,,M10E) Verify personnel that have access to critical DMS functions,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties"
,,,,,M10F) Require single sign-on practices,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals� security and privacy risks and other organizational risks)"
11,Threat Agent Triggers Blackout via Remote Access to Distribution System,"A threat agent performs reconnaissance of utility communications, electrical infrastructure, and ancillary systems to identify critical feeders and electrical equipment. Threat agent gains access to selected elements of the utility DMS system - which includes all distribution automation systems and equipment in control rooms substations, and on pole tops - via remote connections. After gaining the required access, the threat agent manufactures an artificial cascade through sequential tripping of select critical feeders and components, causing automated tripping of generation sources due to power and voltage fluctuations. A blackout of varying degree and potential equipment damage ensues. The remote connections might be established using a variety of methods or combination of methods. These include, but are not limited to, using a lost, stolen, or acquired utility linemen�s laptop to access the DMS directly; compromising an active remote maintenance connection used for vendor DMS application maintenance; taking advantage of an accidental bridged connection to the internet due to DMS misconfiguration; or subverting distribution control communications directly","V11A) Physical access to mobile devices may enable logical access to business functions by unauthorized individuals,* specifically linemen and maintenance
personnel company laptops used for remote connections",I11A) Loss of customer power,M11A) Require strong passwords with complexity requirements for company devices and systems,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals� security and privacy risks and other organizational risks)"
,,,V11B) System relies on credentials that are easy to obtain for access to company computers,I11A) Disclosure of proprietary utility documents or information,M11B) Train personnel to protect company information and documents from unauthorized disclosure,PR.AT-1: All users are informed and trained 
,,,"V11C) Physical access may be obtained by unauthorized individuals to proprietary utility
documents and information",I11A) Possible customer and utility equipment damage,"M11C) Define policy on handling sensitive information. This includes substation one-line
diagrams, equipment information, communication architectures, protection
schemes, load profiles, etc.","ID.GV-1: Organizational cybersecurity policy is established and communicated
PR.DS-5: Protections against data leaks are implemented"
,,,"V11D) Configuration changes are not verified for correctness to prevent and detect human error in data center configuration (e.g., Ethernet cable plugged into wrong port)",,"M11D) Train personnel (operations and maintenance employees) to handle and protect
company computing devices securely, incorporating two-factor authentication,
requirements on storing devices, and reporting instructions in cases of loss or theft",PR.AT-1: All users are informed and trained 
,,,V11E) System permits unauthorized changes by allowing remote access for vendors to do application maintenance and troubleshooting,,M11E) Create audit log of all changes in HMI control actions,"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy
"
,,,V11F) System makes messages accessible to unauthorized individuals in the distribution control communication channel,,"M11F) Restrict remote access of vendor connections (e.g., physically disconnect remote
connections when not in use)","PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access
PR.AC-3: Remote access is managed"
,,,"V11G) System design limits opportunity for system recovery using reconfiguration such as distribution networks that are more radial in nature than meshed, making network reconfiguration to restore power more difficult",,M11G) Encrypt communication paths for distribution control communications,"PR.PT-4: Communications and control networks are protected
PR.DS-2: Data-in-transit is protected


"
,,,,,M11H) Require two-person rule for to verify correct DMS configuration,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)"
,,,,,M11I) Implement configuration management for configuration documents,PR.IP-3: Configuration change control processes are in place
,,,,,M11J) Confirm action to modify data center physical configuration,PR.IP-3: Configuration change control processes are in place
,,,,,"M11K) Isolate networks (distribution control networks) by segmenting the distribution
control network itself","PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)"
12,Hijacked Substation Wireless Damages Substation Equipment,"A threat agent carries out a man in the middle attack, hijacking the wireless communications channel to a substation transformer. The threat agent uses this capability to disable transformer cooling fans and overheat the device. Depending on the transformer and its controller, this could be done through a direct command or by drastically increasing oil temperature setpoints. Many transformers are also custom built and have long lead times for replacement or repair",V12A) System relies on credentials that are easy to obtain for access between the transformer and the substation controller,I12A) Loss of customer power,M12A) Authenticate users of wireless communications,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals� security and privacy risks and other organizational risks)"
,,,"V12B) System makes messages accessible to unauthorized individuals in the wireless
communication channel",I12A) Damage to critical substation equipment,M12B) Encrypt communications paths for wireless communications,"PR.PT-4: Communications and control networks are protected
PR.DS-2: Data-in-transit is protected"
,,,"V12C) Emergency situations may not have the appropriate replacement equipment, some of which require long lead times for repair or replacement (custom built transformers)",I12A) Monetary loss,M12C) Design for trust by replacing wireless communications with wired ones,"PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)
PR.PT-4: Communications and control networks are protected"
,,,,,M12D) Create audit log of all changes in control functions and set points,"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy"
,,,,,M12E) Generate alerts for unusual changes in control functions and set points,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events"
13,Poor Account Management Compromises DMS and Causes Power Loss,"After a maintenance employee retires, computer services personnel forgot to deactivate the employees account on the DMS network. A week later, a threat agent uses the employee�s credentials to access the DMS network. The threat agent alters DMS switching schedules so that automated and manual switching actions trip the wrong lines after a fault or before maintenance to cause power interruptions for critical loads, such as hospitals or prisons",V13A) Workforce not trained in proper procedures to check for human error in account management,I13A) Loss of critical customer power,M13A) Require credential revocation in a timely manner for passwords of former employees,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes"
,,,V13B) Adherence to policies and procedures degrades over time introducing human error in account management,I13A) Possible loss of human lives,M13B) Perform audit of live accounts periodically to verify and encourage adherence to procedures,"PR.AC-1: Identities and credentials are issued, managed, verified, revoked, and audited for authorized devices, users and processes"
,,,V13C) Human error in adherence to policies and procedures to check for human error in account management,I13A) Negative publicity,M13C) Generate alarms for loss of power to ensure timely restoration of power,"DE.AE-5: Incident alert thresholds are established
DE.CM-1: The network is monitored to detect potential cybersecurity events"
14,Power loss due to lack of serial communication authentication,"Serial communications to substations over phone lines often lack authentication of field devices, such as RTUs. This might allow a threat agent to directly dial into modems attached to RTU equipment by war dialing city phone numbers or company phone extensions. Such techniques could allow a threat agent to send breaker trip commands to substation relays and disconnect feeders","V14A) Physical access to a serial port may enable logical access by unauthorized
entities to communications at substations",I14A) Loss of customer power,M14A) Authenticate users of serial communications using strong passwords,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals� security and privacy risks and other organizational risks)"
,,,"V14B) System relies on credentials that are easy to obtain for access to substation relays and RTU (e.g., no passwords or default passwords)",I14B) Monetary loss,M14B) Encrypt communication paths for serial communications using low latency encryption devices,"PR.PT-4: Communications and control networks are protected
PR.DS-2: Data-in-transit is protected"
,,,V14C) Publicly accessible and/or third party controlled links used,I14C) Negative publicity,"M14C) Design for trust and migrate serial communications to field devices from public
phone lines to private communication channels","PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)
PR.PT-4: Communications and control networks are protected"
,,,"V14D) System makes messages accessible to unauthorized individuals using public
communications channels without encryption",,,
15,Threat Agent Causes Worker Electrocution via Remote Access to Distribution System,"A threat agent performs reconnaissance of utility maintenance operations to identify current or scheduled maintenance on distribution lines and equipment
performed by utility linemen. The threat agent gains access to selected elements of the utility DMS system - which includes all distribution automation systems and equipment
in control rooms, substations, and on pole tops - via remote connections. After gaining the required access, the threat agent energizes distribution lines or equipment that are
under maintenance by linemen to elicit injury or death by electrocution. The remote connections might be established using a variety of methods or combination ofmethods. These include but are not limited to: using a lost, stolen, or acquired utility linemen�s laptop to access the DMS directly; compromising an active remotemaintenance connection used for vendor DMS application maintenance; taking advantage of an accidental bridged connection to the internet due to DMS misconfiguration; or subverting distribution control communications directly",V15A) Critical operations are not locked out during maintenance (automation system actions),I15A) Maintenance personnel injury or death,M15A) Define procedures that disallow remote DMS control actions on lines and equipment that are under maintenance,"PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access
PR.AC-3: Remote access is managed"
,,,"V15B) Physical access to mobile devices may enable logical access to business functions by unauthorized individuals* for linemen and maintenance personnel
company laptops used for remote connections",I15B) Damage to company reputation,M15B) Require strong passwords with complexity requirements on company devices and systems,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals� security and privacy risks and other organizational risks)"
,,,V15C) System relies on credentials that are easy to obtain for access to company computers,I15C) Financial loss,"M15C) Train personnel (operations and maintenance employees) to protect company
information and documents from unauthorized disclosure","PR.AT-1: All users are informed and trained 
"
,,,"V15D) Physical access may be obtained by unauthorized individuals to proprietary utility
documents and information",I15D) Possible customer and utility equipment damage,"M15D) Define policy on handling sensitive information. This includes one-lines,
equipment information, communication architectures, protection schemes, load
profiles, etc.","ID.GV-1: Organizational cybersecurity policy is established and communicated
PR.DS-5: Protections against data leaks are implemented"
,,,"V15E) Configuration changes are not verified for correctness to prevent and detect human error in data center configuration (e.g., Ethernet cable plugged into wrong port)",,"M15E) Train personnel (operations and maintenance employees) to handle and protect
company computing devices securely, incorporating two-factor authentication,
requirements on storing devices, and reporting instructions in cases of loss or
theft","PR.AT-1: All users are informed and trained 
"
,,,V15F) System permits unauthorized changes by allowing remote access for vendors to do application maintenance and troubleshooting,,M15F) Create audit log of all changes in HMI control actions,"PR.PT-1: Audit/log records are determined, documented, implemented, and reviewed in accordance with policy"
,,,V15G) System makes messages accessible to unauthorized individuals in distribution control communications,,M15G) Generate alerts for all changes in HMI control actions,DE.AE-5: Incident alert thresholds are established
,,,"V15H) System design limits opportunity for system recovery using reconfiguration such as distribution networks that are more radial in nature than meshed, making network reconfiguration to restore power more difficult",,M15H) Generate alerts for all changes in HMI control actions,DE.AE-5: Incident alert thresholds are established
,,,,,"M15I) Restrict remote access of vendor connections (e.g., physically disconnect remote
connections when not in use)","PR.MA-2: Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access
PR.AC-3: Remote access is managed"
,,,,,M15G) Encrypt communication paths for distribution control communications,"PR.PT-4: Communications and control networks are protected
PR.DS-2: Data-in-transit is protected


"
,,,,,M15H) Require two-person rule to verify DMS configuration,"PR.AC-4: Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties
PR.IP-1: A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality)"
,,,,,M15I) Implement configuration management of DMS configuration documents,PR.IP-3: Configuration change control processes are in place
,,,,,M15J) Confirm action to modify the data center physical configuration,PR.IP-3: Configuration change control processes are in place
,,,,,"M15K) Isolate networks (distribution control network) by segmenting the distribution
control network itself","PR.AC-5: Network integrity is protected (e.g., network segregation, network segmentation)"
16,Threat agent compromises serial control link to substation,"The Telco/Commercial Service Provider (CSP) provides communications capability between the utility�s substation and headend/control center. Both wired and
wireless based interfaces may be involved depending on the particular utility standards and site-specific constraints. Wired-based communication links can be analog or digital leased lines, while wireless interfaces are typically radio, cellular or even satellite based. To establish the Telco/CSP end-to-end communications, a point of demarcation (Demarc) is provided where the local utility owned communications infrastructure interfaces the telco owned network infrastructure (Error! Reference source notound.). A knowledgeable threat agent can compromise the serial communications at the Demarc by intercepting and selectively modifying communicated data to masquerade as a user (man-in-the-middle) or replay attack, in which the threat agent captures control messages and subsequent retransmission with the intent of producing an unauthorized effect. This can potentially compromise both real-time (sometimes referred to as operational) traffic as well as non-real-time (sometimes referred to as non-operational) traffic. In the context of real-time data exchanges, the substation gateway or RTU in the substation or the SCADA Front End Processor (FEP) at the headend can be affected by manipulating command and control messages in the direction of the substation or information messages in the direction of the head end. In the case of non-operational data exchanges, IED settings can be potentially manipulated",V16A) Physical access may be obtained by unauthorized individuals to the utility or Telco/ISP,"I16A) Loss of customer power, possibly to critical customers (e.g., hospital)","M16A) Implement approved cryptographic algorithms to protect the integrity of
communications and the cryptographic keys","PR.DS-1: Data-at-rest is protected
PR.DS-2: Data-in-transit is protected
PR.PT-4: Communications and control networks are protected"
,,,V16B) Unnecessary network access is permitted allowing access of threat agent to the demarc or within the service providers network CSU/DSU,I16B) Potential customer and utility equipment damage,M16B) Implement approved key management to protect the cryptographic keys,"PR.DS-1: Data-at-rest is protected
PR.DS-2: Data-in-transit is protected"
,,,"V16C) System relies on credentials that are easy to obtain for access to substation
gateway/RTU or SCADA FEP","I16C) Financial loss associated with any equipment damage or restoration to normal
operations","M16C) Detect unusual patterns of energy usage on Generation Automation (all utilities have some type of revenue protection scheme, but these may not be adequate)","DE.AE-5: Incident alert thresholds are established
DE.AE-1: A baseline of network operations and expected data flows for users and systems is established and managed
DE.CM-1: The network is monitored to detect potential cybersecurity events
"
,,,V16D) Users lack visibility of unapproved access* to the demarc,"I16D) Increase in public safety concerns (e.g., loss of heating or cooling on extremely cold or hot days)",M16D) Detect unauthorized access in network traffic between substation and headend,"DE.CM-7: Monitoring for unauthorized personnel, connections, devices, and software is performed"
,,,"V16E) Commands or other messages may be inserted on the network by unauthorized
individuals* in the communication protocol",I16E) Negative impact on customer service due to increase in calls and complaints,M16E) Require authentication on all data exchanges,"PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals� security and privacy risks and other organizational risks)"
,,,V16F) System makes messages accessible to unauthorized individuals over the serial link,I16F) Damage to goodwill toward utility,"M16F) Encrypt communication paths for serial messaging by using bump-in-the-wire
solution","PR.PT-4: Communications and control networks are protected
PR.DS-2: Data-in-transit is protected


"
,,,V16G) Message modified by an adversary is either difficult or infeasible to distinguish from a valid message in the communication protocol,,"M16G) Require multi-factor authentication by Telco/CSP to the device containing
CSU/DSU units through service level agreement (SLA)","PR.AC-7: Users, devices, and other assets are authenticated (e.g., single-factor, multi-factor) commensurate with the risk of the transaction (e.g., individuals� security and privacy risks and other organizational risks)"
,,,V16H) Physical access may be obtained by unauthorized individuals to the utility or Telco/ISP,,M16H) Require tamper detection and response by Telco/CSP for the Demarc through SLA,ID.SC-3: Contracts with suppliers and third-party partners are used to implement appropriate measures designed to meet the objectives of an organization�s cybersecurity program and Cyber Supply Chain Risk Management Plan
,,,"V16I) A copy of a prior message or command is difficult or infeasible to distinguish from
a new legitimate message or command over the serial link",,M161) Restrict physical access by implementing personnel security control procedures,PR.AC-2: Physical access to assets is managed and protected
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
